pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT4G24340-AT4G24350,2-3,2-3,+IR,0,5,0,4,0,3,96,771,95,766,217,1246,IR,AT4G24340,AT4G24350,AT4G24340-AT4G243502-3+IR,12,0,2783,408,one,0.146604383758534
AT1G03400-AT1G03410,2-3,2-3,+IR,39,199,39,304,40,306,0,46,0,30,0,47,IR,AT1G03400,AT1G03410,AT1G03400-AT1G034102-3+IR,809,118,123,0,one,0.145859085290482
AT5G47480-AT5G47490,1-2,1-2,-ALTA,0,112,0,98,0,161,4,48,5,27,11,65,ALTA,AT5G47480,AT5G47490,AT5G47480-AT5G474901-2-ALTA,371,0,140,20,one,0.142857142857143
AT5G22770-AT5G22780,14-15,14-15,+IR,44,202,16,165,35,317,0,208,0,225,0,426,IR,AT5G22770,AT5G22780,AT5G22770-AT5G2278014-15+IR,684,95,859,0,one,0.138888888888889
AT1G56130-AT1G56140,21-22,21-22,+IR,0,6,0,3,0,12,5,22,6,41,3,40,IR,AT1G56130,AT1G56140,AT1G56130-AT1G5614021-22+IR,21,0,103,14,one,0.135922330097087
AT2G32160-AT2G32170,10-11,11-12,+IR,24,163,20,125,20,184,0,131,0,142,0,205,IR,AT2G32160,AT2G32170,AT2G32160-AT2G3217010-11+IR,472,64,478,0,one,0.135593220338983
AT2G20550-AT2G20560,2-3,2-3,+IR,4,34,4,18,4,38,0,12,0,16,0,59,IR,AT2G20550,AT2G20560,AT2G20550-AT2G205602-3+IR,90,12,87,0,one,0.133333333333333
AT3G03030-AT3G03040,1-2,2-3,-ALTA,0,14,0,25,0,45,32,128,9,123,20,211,ALTA,AT3G03030,AT3G03040,AT3G03030-AT3G030401-2-ALTA,84,0,462,61,one,0.132034632034632
AT3G28070-AT3G28080,3-4,3-4,-ALTA,68,600,39,329,113,755,0,454,0,335,0,608,ALTA,AT3G28070,AT3G28080,AT3G28070-AT3G280803-4-ALTA,1684,220,1397,0,one,0.130641330166271
AT3G14130-AT3G14150,6-7,6-7,+IR,0,28,0,32,0,40,26,157,22,134,29,304,IR,AT3G14130,AT3G14150,AT3G14130-AT3G141506-7+IR,100,0,595,77,one,0.129411764705882
AT3G57010-AT3G57020,1-2,1-2,-ALTA,0,6,0,4,0,7,44,366,42,301,80,618,ALTA,AT3G57010,AT3G57020,AT3G57010-AT3G570201-2-ALTA,17,0,1285,166,one,0.129182879377432
AT4G32960-AT4G32970,2-3,2-3,-ALTA,0,107,0,120,0,174,4,21,1,19,5,39,ALTA,AT4G32960,AT4G32970,AT4G32960-AT4G329702-3-ALTA,401,0,79,10,one,0.126582278481013
AT4G30910-AT4G30920,2-3,2-3,+IR,3,30,11,51,3,54,0,406,0,389,0,635,IR,AT4G30910,AT4G30920,AT4G30910-AT4G309202-3+IR,135,17,1430,0,one,0.125925925925926
AT1G53430-AT1G53440,6-7,6-7,+IR,0,159,0,147,0,181,10,55,4,56,9,74,IR,AT1G53430,AT1G53440,AT1G53430-AT1G534406-7+IR,487,0,185,23,one,0.124324324324324
AT5G23490-AT5G23510,15-16,5-6,+IR,0,70,0,51,0,75,6,99,9,83,21,108,IR,AT5G23490,AT5G23510,AT5G23490-AT5G2351015-16+IR,196,0,290,36,one,0.124137931034483
AT1G73450-AT1G73460,3-4,3-4,+IR,0,55,0,43,0,52,15,140,12,110,25,173,IR,AT1G73450,AT1G73460,AT1G73450-AT1G734603-4+IR,150,0,423,52,one,0.122931442080378
AT4G24340-AT4G24350,4-5,4-5,+IR,0,2,0,1,0,4,65,526,47,436,91,691,IR,AT4G24340,AT4G24350,AT4G24340-AT4G243504-5+IR,7,0,1653,203,one,0.12280701754386
AT3G17690-AT3G17700,6-7,7-8,+IR,0,7,0,1,0,5,9,70,13,91,14,134,IR,AT3G17690,AT3G17700,AT3G17690-AT3G177006-7+IR,13,0,295,36,one,0.122033898305085
AT3G59320-AT3G59330,2-3,1-2,+ALTA,0,55,0,29,0,61,7,113,14,69,13,97,ALTA,AT3G59320,AT3G59330,AT3G59320-AT3G593302-3+ALTA,145,0,279,34,one,0.121863799283154
AT1G67440-AT1G67460,2-3,2-3,-ALTA,0,246,0,313,0,494,5,21,1,12,2,33,ALTA,AT1G67440,AT1G67460,AT1G67440-AT1G674602-3-ALTA,1053,0,66,8,one,0.121212121212121
AT3G48780-AT3G48790,11-12,7-8,+IR,14,194,30,179,36,289,0,1,0,0,0,4,IR,AT3G48780,AT3G48790,AT3G48780-AT3G4879011-12+IR,662,80,5,0,one,0.120845921450151
AT3G17690-AT3G17700,5-6,6-7,+IR,0,2,0,0,0,2,13,93,10,83,13,127,IR,AT3G17690,AT3G17700,AT3G17690-AT3G177005-6+IR,4,0,303,36,one,0.118811881188119
AT4G21903-AT4G21910,1-2,1-2,-ALTA,0,0,0,2,0,1,13,66,9,63,7,122,ALTA,AT4G21903,AT4G21910,AT4G21903-AT4G219101-2-ALTA,3,0,251,29,one,0.115537848605578
AT5G25250-AT5G25260,1-2,1-2,+IR,14,113,11,135,22,159,0,9,0,27,0,35,IR,AT5G25250,AT5G25260,AT5G25250-AT5G252601-2+IR,407,47,71,0,one,0.115479115479115
AT5G56650-AT5G56660,1-2,1-2,+IR,0,203,0,234,0,387,13,46,6,104,13,128,IR,AT5G56650,AT5G56660,AT5G56650-AT5G566601-2+IR,824,0,278,32,one,0.115107913669065
AT5G05880-AT5G05890,1-2,1-2,+IR,0,1,0,2,0,4,15,64,7,138,16,130,IR,AT5G05880,AT5G05890,AT5G05880-AT5G058901-2+IR,7,0,332,38,one,0.114457831325301
AT1G48210-AT1G48220,6-7,5-6,+IR,12,36,1,41,4,72,0,2,0,0,0,0,IR,AT1G48210,AT1G48220,AT1G48210-AT1G482206-7+IR,149,17,2,0,one,0.114093959731544
AT5G54610-AT5G54620,1-2,1-2,+IR,20,101,5,84,5,78,0,0,0,1,0,3,IR,AT5G54610,AT5G54620,AT5G54610-AT5G546201-2+IR,263,30,4,0,one,0.114068441064639
AT1G11340-AT1G11410,4-5,3-4,+IR,0,2,0,9,0,26,23,185,8,159,36,247,IR,AT1G11340,AT1G11410,AT1G11340-AT1G114104-5+IR,37,0,591,67,one,0.11336717428088
AT4G13870-AT4G13885,5-6,6-7,+IR,8,39,4,38,5,73,0,3,0,2,0,6,IR,AT4G13870,AT4G13885,AT4G13870-AT4G138855-6+IR,150,17,11,0,one,0.113333333333333
AT5G25040-AT5G25050,1-2,1-2,+IR,8,100,17,114,23,211,0,31,0,46,0,58,IR,AT5G25040,AT5G25050,AT5G25040-AT5G250501-2+IR,425,48,135,0,one,0.112941176470588
AT1G14870-AT1G14880,1-2,1-2,+IR,16,90,7,87,11,127,0,172,0,101,0,214,IR,AT1G14870,AT1G14880,AT1G14870-AT1G148801-2+IR,304,34,487,0,one,0.111842105263158
AT3G57460-AT3G57470,7-8,17-18,-ALTA,0,6,0,4,0,20,18,126,12,116,23,232,ALTA,AT3G57460,AT3G57470,AT3G57460-AT3G574707-8-ALTA,30,0,474,53,one,0.111814345991561
