pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT4G18970-AT5G45670,4-5,4-5,-ALTA,12,951,11,986,16,2474,0,59,0,126,0,265,ALTA,AT4G18970,AT5G45670,AT4G18970-AT5G456704-5-ALTA,4411,39,450,0,one,0.0088415325323056
AT1G10290-AT1G59610,3-4,3-4,+ALTD,0,349,0,307,0,555,2,266,2,293,5,460,ALTD,AT1G10290,AT1G59610,AT1G10290-AT1G596103-4+ALTD,1211,0,1019,9,one,0.00883218842001963
AT1G19050-AT1G74890,1-2,1-2,+IR,11,582,2,359,6,1212,0,74,0,21,0,88,IR,AT1G19050,AT1G74890,AT1G19050-AT1G748901-2+IR,2153,19,183,0,one,0.00882489549465862
AT5G10270-AT5G64960,11-12,11-12,+IR,0,134,0,109,0,169,5,407,4,391,6,903,IR,AT5G10270,AT5G64960,AT5G10270-AT5G6496011-12+IR,412,0,1701,15,one,0.00881834215167548
AT1G18870-AT1G74710,12-13,10-11,+IR,0,13,0,51,0,26,1,117,1,139,2,198,IR,AT1G18870,AT1G74710,AT1G18870-AT1G7471012-13+IR,90,0,454,4,one,0.00881057268722467
AT2G24020-AT4G30620,2-3,2-3,-ALTA,0,2242,0,2289,0,4320,20,1145,9,1146,13,2492,ALTA,AT2G24020,AT4G30620,AT2G24020-AT4G306202-3-ALTA,8851,0,4783,42,one,0.00878109972820406
AT2G42320-AT3G57780,6-7,7-8,+IR,5,287,3,296,1,444,0,49,0,27,0,55,IR,AT2G42320,AT3G57780,AT2G42320-AT3G577806-7+IR,1027,9,131,0,one,0.00876338851022395
AT3G50000-AT5G67380,9-10,9-10,+IR,1,281,4,268,3,364,0,261,0,324,0,438,IR,AT3G50000,AT5G67380,AT3G50000-AT5G673809-10+IR,913,8,1023,0,one,0.00876232201533406
AT2G21380-AT4G39050,12-13,11-12,+ALTD,0,342,0,452,0,651,5,278,2,239,1,402,ALTD,AT2G21380,AT4G39050,AT2G21380-AT4G3905012-13+ALTD,1445,0,919,8,one,0.00870511425462459
AT1G02890-AT4G02480,25-26,25-26,+IR,0,289,0,282,0,440,13,794,6,702,4,1148,IR,AT1G02890,AT4G02480,AT1G02890-AT4G0248025-26+IR,1011,0,2644,23,one,0.00869894099848714
AT3G02530-AT5G16070,13-14,13-14,+IR,3,220,1,204,3,381,0,257,0,217,0,451,IR,AT3G02530,AT5G16070,AT3G02530-AT5G1607013-14+IR,805,7,925,0,one,0.00869565217391304
AT1G10900-AT1G60890,4-5,4-5,+IR,3,608,5,414,8,831,0,30,0,20,0,32,IR,AT1G10900,AT1G60890,AT1G10900-AT1G608904-5+IR,1853,16,82,0,one,0.00863464651915812
AT3G23070-AT4G14510,4-5,4-5,+IR,2,310,4,268,4,587,0,335,0,167,0,566,IR,AT3G23070,AT4G14510,AT3G23070-AT4G145104-5+IR,1165,10,1068,0,one,0.00858369098712446
AT2G44090-AT3G59910,2-3,3-4,+IR,3,331,2,239,4,480,0,413,0,277,0,661,IR,AT2G44090,AT3G59910,AT2G44090-AT3G599102-3+IR,1050,9,1351,0,one,0.00857142857142857
AT2G14120-AT4G33650,11-12,10-11,+IR,1,172,2,152,2,263,0,206,0,156,0,263,IR,AT2G14120,AT4G33650,AT2G14120-AT4G3365011-12+IR,587,5,625,0,one,0.00851788756388416
AT3G27020-AT5G41000,2-3,2-3,+IR,5,259,2,327,2,472,0,27,0,27,0,40,IR,AT3G27020,AT5G41000,AT3G27020-AT5G410002-3+IR,1058,9,94,0,one,0.00850661625708885
AT3G10500-AT5G04410,3-4,3-4,-ALTA,0,53,0,62,0,76,3,348,1,349,7,599,ALTA,AT3G10500,AT5G04410,AT3G10500-AT5G044103-4-ALTA,191,0,1296,11,one,0.00848765432098765
AT3G55630-AT5G05980,11-12,12-13,-ALTD,4,470,5,335,3,610,0,171,0,121,0,245,ALTD,AT3G55630,AT5G05980,AT3G55630-AT5G0598011-12-ALTD,1415,12,537,0,one,0.00848056537102473
AT3G06650-AT5G49460,12-13,12-13,+IR,0,589,0,750,0,1357,4,258,3,352,3,571,IR,AT3G06650,AT5G49460,AT3G06650-AT5G4946012-13+IR,2696,0,1181,10,one,0.00846740050804403
AT3G46440-AT5G59290,5-6,5-6,+IR,0,62,0,64,0,86,3,496,1,450,12,949,IR,AT3G46440,AT5G59290,AT3G46440-AT5G592905-6+IR,212,0,1895,16,one,0.00844327176781003
AT1G14690-AT2G01910,2-3,2-3,+IR,2,214,3,203,1,294,0,148,0,229,0,349,IR,AT1G14690,AT2G01910,AT1G14690-AT2G019102-3+IR,711,6,726,0,one,0.00843881856540084
AT2G44180-AT3G59990,3-4,4-5,-ALTD,1,80,1,113,1,163,0,422,0,434,0,627,ALTD,AT2G44180,AT3G59990,AT2G44180-AT3G599903-4-ALTD,356,3,1483,0,one,0.00842696629213483
AT3G05840-AT5G26751,7-8,8-9,+IR,9,684,3,595,6,858,0,428,0,438,0,601,IR,AT3G05840,AT5G26751,AT3G05840-AT5G267517-8+IR,2137,18,1467,0,one,0.0084230229293402
AT1G54220-AT3G13930,9-10,10-11,+IR,1,138,1,117,2,222,0,547,0,433,0,964,IR,AT1G54220,AT3G13930,AT1G54220-AT3G139309-10+IR,477,4,1944,0,one,0.00838574423480084
AT1G24180-AT1G59900,6-7,5-6,+IR,0,383,0,375,0,583,6,820,12,863,7,1302,IR,AT1G24180,AT1G59900,AT1G24180-AT1G599006-7+IR,1341,0,2985,25,one,0.00837520938023451
AT3G01540-AT5G14610,5-6,7-8,-ALTD,4,1035,13,1410,21,2106,0,87,0,90,0,191,ALTD,AT3G01540,AT5G14610,AT3G01540-AT5G146105-6-ALTD,4551,38,368,0,one,0.00834981322786201
AT3G02200-AT5G15610,5-6,5-6,+IR,4,521,1,322,7,605,0,310,0,218,0,497,IR,AT3G02200,AT5G15610,AT3G02200-AT5G156105-6+IR,1448,12,1025,0,one,0.00828729281767956
AT1G20090-AT1G75840,5-6,5-6,+IR,1,479,9,515,5,817,0,360,0,391,0,666,IR,AT1G20090,AT1G75840,AT1G20090-AT1G758405-6+IR,1811,15,1417,0,one,0.0082827167310878
AT1G14670-AT2G01970,2-3,2-3,+IR,7,362,1,362,4,726,0,262,0,204,0,494,IR,AT1G14670,AT2G01970,AT1G14670-AT2G019702-3+IR,1450,12,960,0,one,0.00827586206896552
AT2G23420-AT4G36940,13-14,13-14,-ALTA,0,313,0,336,0,538,5,271,1,249,2,447,ALTA,AT2G23420,AT4G36940,AT2G23420-AT4G3694013-14-ALTA,1187,0,967,8,one,0.00827300930713547
AT1G13900-AT2G03450,1-2,1-2,+IR,1,133,1,125,2,226,0,30,0,19,0,36,IR,AT1G13900,AT2G03450,AT1G13900-AT2G034501-2+IR,484,4,85,0,one,0.00826446280991736
AT3G04090-AT5G18290,2-3,2-3,+IR,4,526,8,546,4,866,0,39,0,20,0,47,IR,AT3G04090,AT5G18290,AT3G04090-AT5G182902-3+IR,1938,16,106,0,one,0.00825593395252838
AT1G20950-AT1G76550,14-15,14-15,+IR,1,347,3,262,6,607,0,79,0,131,0,157,IR,AT1G20950,AT1G76550,AT1G20950-AT1G7655014-15+IR,1216,10,367,0,one,0.00822368421052632
AT1G05640-AT2G31820,2-3,2-3,-ALTA,0,5,0,6,0,12,3,228,1,240,3,384,ALTA,AT1G05640,AT2G31820,AT1G05640-AT2G318202-3-ALTA,23,0,852,7,one,0.00821596244131455
AT1G33490-AT4G10140,2-3,2-3,+IR,4,288,1,241,3,448,0,72,0,86,0,123,IR,AT1G33490,AT4G10140,AT1G33490-AT4G101402-3+IR,977,8,281,0,one,0.00818833162743091
AT1G02890-AT4G02480,24-25,24-25,+IR,0,294,0,272,0,425,6,953,7,973,15,1503,IR,AT1G02890,AT4G02480,AT1G02890-AT4G0248024-25+IR,991,0,3429,28,one,0.00816564596092155
AT4G27900-AT5G53420,3-4,3-4,+IR,0,79,0,46,0,125,2,202,2,201,2,332,IR,AT4G27900,AT5G53420,AT4G27900-AT5G534203-4+IR,250,0,735,6,one,0.00816326530612245
AT3G27170-AT5G40890,2-3,2-3,+IR,0,49,0,25,0,41,4,737,11,780,6,1056,IR,AT3G27170,AT5G40890,AT3G27170-AT5G408902-3+IR,115,0,2573,21,one,0.00816167897396036
AT1G19650-AT1G75370,2-3,2-3,-ALTD,1,222,4,243,2,396,0,456,0,622,0,838,ALTD,AT1G19650,AT1G75370,AT1G19650-AT1G753702-3-ALTD,861,7,1916,0,one,0.00813008130081301
