pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT1G17990-AT1G18020,1-2,1-2,+ALTA,1,589,13,1212,4,1068,1,548,13,1116,4,974,ALTA,AT1G17990,AT1G18020,AT1G17990-AT1G180201-2+ALTA,2869,18,2638,18,both,0.000549387970173968
AT1G17990-AT1G18020,2-3,2-3,-ALTA,7,358,2,790,6,689,7,335,2,740,6,651,ALTA,AT1G17990,AT1G18020,AT1G17990-AT1G180202-3-ALTA,1837,15,1726,15,both,0.000525126929328955
AT1G55980-AT1G56000,7-8,1-2,+IR,15,336,16,275,19,553,15,332,16,273,19,545,IR,AT1G55980,AT1G56000,AT1G55980-AT1G560007-8+IR,1164,50,1150,50,both,0.000522934409084116
AT1G29350-AT1G29370,8-9,8-9,+IR,2,359,1,364,10,617,2,363,1,334,10,591,IR,AT1G29350,AT1G29370,AT1G29350-AT1G293708-9+IR,1340,13,1288,13,both,0.000391675164549922
AT5G25754-AT5G25757,1-2,1-2,+IR,5,825,5,647,8,1576,5,862,4,621,8,1576,IR,AT5G25754,AT5G25757,AT5G25754-AT5G257571-2+IR,3048,18,3059,17,both,0.00034814012092882
AT4G31480-AT4G31490,1-2,1-2,+IR,22,499,13,567,22,1156,5,340,11,275,16,648,IR,AT4G31480,AT4G31490,AT4G31480-AT4G314901-2+IR,2222,57,1263,32,both,0.000316064860642836
AT2G32870-AT2G32880,3-4,3-4,+IR,12,1771,13,1582,2,2256,6,1276,5,1016,10,1880,IR,AT2G32870,AT2G32880,AT2G32870-AT2G328803-4+IR,5609,27,4172,21,both,0.000219864766716004
AT1G17990-AT1G18020,3-4,3-4,-ALTA,2,284,9,464,6,439,2,277,9,458,6,435,ALTA,AT1G17990,AT1G18020,AT1G17990-AT1G180203-4-ALTA,1187,17,1170,17,both,0.000208094816350925
AT2G40510-AT2G40590,2-3,2-3,+IR,8,2758,2,2518,9,6942,3,1456,2,976,3,3439,IR,AT2G40510,AT2G40590,AT2G40510-AT2G405902-3+IR,12218,19,5871,8,both,0.000192452789260585
AT1G58848-AT1G59218,4-5,4-5,+IR,39,472,27,536,25,686,36,372,19,414,17,558,IR,AT1G58848,AT1G59218,AT1G58848-AT1G592184-5+IR,1694,91,1344,72,both,0.000147579693034243
AT1G53885-AT1G53903,1-2,1-2,+IR,11,227,64,1505,42,631,11,228,64,1510,42,630,IR,AT1G53885,AT1G53903,AT1G53885-AT1G539031-2+IR,2363,117,2368,117,both,0.000104546728277151
AT1G58848-AT1G59218,2-3,2-3,+IR,19,362,16,339,26,439,19,362,16,339,26,440,IR,AT1G58848,AT1G59218,AT1G58848-AT1G592182-3+IR,1140,61,1141,61,both,4.68963820594442e-05
AT4G09250-AT4G09310,3-4,3-4,+IR,1,209,1,165,4,322,1,211,1,165,4,322,IR,AT4G09250,AT4G09310,AT4G09250-AT4G093103-4+IR,696,6,698,6,both,2.47011164904651e-05
AT5G24770-AT5G24780,1-2,1-2,+IR,11,291,23,503,30,830,2,63,2,78,7,138,IR,AT5G24770,AT5G24780,AT5G24770-AT5G247801-2+IR,1624,64,279,11,both,1.76563024171447e-05
AT4G09250-AT4G09310,2-3,2-3,-ALTD;-ALTA,1,217,2,226,2,376,1,217,2,226,2,377,ALTP,AT4G09250,AT4G09310,AT4G09250-AT4G093102-3-ALTD;-ALTA,819,5,820,5,both,7.44512939634869e-06
AT1G58848-AT1G59218,2-3,2-3,+ALTD,4,377,1,354,1,464,4,377,1,354,1,465,ALTD,AT1G58848,AT1G59218,AT1G58848-AT1G592182-3+ALTD,1195,6,1196,6,both,4.19809406529414e-06
