pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT1G29050-AT2G34070,2-3,2-3,+IR,9,59,5,43,10,76,9,174,12,165,8,292,IR,AT1G29050,AT2G34070,AT1G29050-AT2G340702-3+IR,178,24,631,29,both,0.0888726651115583
AT4G17900-AT5G46710,2-3,2-3,+IR,4,186,2,320,9,307,7,91,6,219,51,288,IR,AT4G17900,AT5G46710,AT4G17900-AT5G467102-3+IR,813,15,598,64,both,0.0885732268693924
AT1G25550-AT1G68670,2-3,3-4,+IR,59,305,71,992,133,764,11,377,28,984,47,804,IR,AT1G25550,AT1G68670,AT1G25550-AT1G686702-3+IR,2061,263,2165,86,both,0.087885093560941
AT4G27100-AT5G54780,7-8,7-8,+IR,8,59,9,65,9,91,2,50,1,54,3,76,IR,AT4G27100,AT5G54780,AT4G27100-AT5G547807-8+IR,215,26,180,6,both,0.0875968992248062
AT2G42380-AT3G58120,3-4,3-4,+IR,76,346,93,325,149,867,225,466,295,652,149,1162,IR,AT2G42380,AT3G58120,AT2G42380-AT3G581203-4+IR,1538,318,2280,669,both,0.0866590240229964
AT1G06670-AT2G30800,4-5,4-5,+IR,2,44,1,29,3,76,3,29,2,19,6,39,IR,AT1G06670,AT2G30800,AT1G06670-AT2G308004-5+IR,149,6,87,11,both,0.0861683252333565
AT1G20880-AT1G76460,1-2,1-2,+IR,8,52,9,66,12,77,24,97,29,138,44,178,IR,AT1G20880,AT1G76460,AT1G20880-AT1G764601-2+IR,195,29,413,97,both,0.0861488793692184
AT1G21720-AT1G77440,5-6,5-6,+IR,36,344,38,320,80,609,18,333,9,307,15,543,IR,AT1G21720,AT1G77440,AT1G21720-AT1G774405-6+IR,1273,154,1183,42,both,0.0854711184036219
AT2G23760-AT4G36870,3-4,3-4,+IR,20,306,18,351,35,551,20,231,40,254,63,365,IR,AT2G23760,AT4G36870,AT2G23760-AT4G368703-4+IR,1208,73,850,123,both,0.0842754187767822
AT1G14700-AT2G01890,6-7,6-7,+IR,71,472,69,432,113,743,12,141,2,150,25,263,IR,AT1G14700,AT2G01890,AT1G14700-AT2G018906-7+IR,1647,253,554,39,both,0.0832155171091077
AT1G12820-AT3G26810,2-3,1-2,+IR,10,227,7,361,15,624,35,161,14,229,38,405,IR,AT1G12820,AT3G26810,AT1G12820-AT3G268102-3+IR,1212,32,795,87,both,0.0830313220001245
AT5G08200-AT5G23130,2-3,2-3,+IR,3,77,3,23,12,105,1,18,10,77,18,75,IR,AT5G08200,AT5G23130,AT5G08200-AT5G231302-3+IR,205,18,170,29,both,0.0827833572453372
AT3G23790-AT4G14070,14-15,14-15,+IR,5,26,1,36,2,31,4,592,1,607,2,962,IR,AT3G23790,AT4G14070,AT3G23790-AT4G1407014-15+IR,93,8,2161,7,both,0.0827822642842571
AT3G55630-AT5G05980,10-11,11-12,+IR,73,457,43,315,83,622,4,138,8,141,18,221,IR,AT3G55630,AT5G05980,AT3G55630-AT5G0598010-11+IR,1394,199,500,30,both,0.0827546628407461
AT1G18150-AT1G73670,7-8,7-8,+IR,1,470,1,332,1,640,7,176,20,165,20,223,IR,AT1G18150,AT1G73670,AT1G18150-AT1G736707-8+IR,1442,3,564,47,both,0.0812528895053167
AT1G54130-AT3G14050,5-6,5-6,+IR,9,342,6,562,4,743,1,92,17,212,22,130,IR,AT1G54130,AT3G14050,AT1G54130-AT3G140505-6+IR,1647,19,434,40,both,0.0806297723272869
AT2G47250-AT3G62310,3-4,3-4,+ALTA,81,733,71,585,138,1235,82,414,62,289,108,600,ALTA,AT2G47250,AT3G62310,AT2G47250-AT3G623103-4+ALTA,2553,290,1303,252,both,0.0798079937857708
AT3G51370-AT5G66080,3-4,2-3,+IR,37,714,37,754,44,1133,3,23,5,29,5,52,IR,AT3G51370,AT5G66080,AT3G51370-AT5G660803-4+IR,2601,118,104,13,both,0.0796328335255671
AT2G01330-AT3G18060,5-6,5-6,+IR,7,54,3,35,3,65,4,597,1,432,4,799,IR,AT2G01330,AT3G18060,AT2G01330-AT3G180605-6+IR,154,13,1828,9,both,0.0794921708488448
AT1G07510-AT2G29080,7-8,7-8,+IR,14,197,9,164,42,296,2,561,11,406,22,793,IR,AT1G07510,AT2G29080,AT1G07510-AT2G290807-8+IR,657,65,1760,35,both,0.0790481873529819
AT3G04810-AT5G28290,15-16,14-15,+IR,11,110,13,130,17,235,4,39,9,24,8,64,IR,AT3G04810,AT5G28290,AT3G04810-AT5G2829015-16+IR,475,41,127,21,both,0.0790385412349772
AT2G24060-AT4G30690,8-9,8-9,+IR,17,1149,28,884,39,2061,68,958,166,1461,210,2097,IR,AT2G24060,AT4G30690,AT2G24060-AT4G306908-9+IR,4094,84,4516,444,both,0.077799263801982
AT4G25500-AT5G52040,2-3,2-3,+IR,243,383,278,603,397,879,394,701,305,822,539,1461,IR,AT4G25500,AT5G52040,AT4G25500-AT5G520402-3+IR,1865,918,2984,1238,both,0.0773458445040214
AT1G18500-AT1G74040,9-10,9-10,+IR,6,492,1,459,2,689,24,295,24,275,43,531,IR,AT1G18500,AT1G74040,AT1G18500-AT1G740409-10+IR,1640,9,1101,91,both,0.0771643295452028
AT3G49560-AT5G24650,3-4,3-4,+IR,75,763,53,703,95,1367,1,576,1,458,1,884,IR,AT3G49560,AT5G24650,AT3G49560-AT5G246503-4+IR,2833,223,1918,3,both,0.0771510136566395
AT2G20400-AT4G28610,3-4,3-4,+IR,2,21,1,24,4,40,2,393,1,478,5,648,IR,AT2G20400,AT4G28610,AT2G20400-AT4G286103-4+IR,85,7,1519,8,both,0.0770863183983271
AT1G66900-AT5G38220,1-2,1-2,+IR,39,159,36,185,67,282,46,73,27,86,33,190,IR,AT1G66900,AT5G38220,AT1G66900-AT5G382201-2+IR,626,142,349,106,both,0.0768878676638868
AT1G34550-AT4G09630,6-7,5-6,+IR,15,151,14,97,31,233,6,113,11,117,4,195,IR,AT1G34550,AT4G09630,AT1G34550-AT4G096306-7+IR,481,60,425,21,both,0.0753283600342424
AT2G25850-AT4G32850,6-7,6-7,+IR,1,66,14,64,16,110,12,205,13,187,12,293,IR,AT2G25850,AT4G32850,AT2G25850-AT4G328506-7+IR,240,31,685,37,both,0.0751520681265207
AT1G06080-AT2G31360,1-2,1-2,+IR,5,58,7,141,20,160,33,962,11,1004,11,1951,IR,AT1G06080,AT2G31360,AT1G06080-AT2G313601-2+IR,359,32,3917,55,both,0.075095132068414
AT3G01560-AT5G14540,2-3,2-3,+IR,11,150,5,174,9,254,27,190,26,263,46,384,IR,AT3G01560,AT5G14540,AT3G01560-AT5G145402-3+IR,578,25,837,99,both,0.0750269747367638
AT1G21380-AT1G76970,9-10,9-10,+IR,3,278,6,231,8,354,6,37,2,52,6,59,IR,AT1G21380,AT1G76970,AT1G21380-AT1G769709-10+IR,863,17,148,14,both,0.0748958692180013
AT2G37520-AT3G53680,17-18,17-18,+IR,3,107,17,72,19,131,6,105,5,99,8,169,IR,AT2G37520,AT3G53680,AT2G37520-AT3G5368017-18+IR,310,39,373,19,both,0.0748681138112946
AT2G16400-AT4G34610,4-5,4-5,+IR,8,214,10,215,29,345,23,172,13,88,35,264,IR,AT2G16400,AT4G34610,AT2G16400-AT4G346104-5+IR,774,47,524,71,both,0.0747726689942206
AT2G41960-AT3G58050,4-5,5-6,+IR,4,115,3,102,3,159,14,82,5,79,11,135,IR,AT2G41960,AT3G58050,AT2G41960-AT3G580504-5+IR,376,10,296,30,both,0.0747556066705003
AT3G50500-AT5G66880,4-5,4-5,+IR,15,627,10,801,17,898,2,109,22,205,26,233,IR,AT3G50500,AT5G66880,AT3G50500-AT5G668804-5+IR,2326,42,547,50,both,0.0733509284599339
AT2G38700-AT3G54250,4-5,4-5,+IR,2,225,4,329,26,501,11,31,3,41,1,73,IR,AT2G38700,AT3G54250,AT2G38700-AT3G542504-5+IR,1055,32,145,15,both,0.0731165223075666
AT3G04350-AT5G18490,1-2,1-2,+IR,16,55,8,64,7,104,1,40,3,71,10,100,IR,AT3G04350,AT5G18490,AT3G04350-AT5G184901-2+IR,223,31,211,14,both,0.0726627420143243
AT3G06190-AT5G19000,3-4,4-5,+IR,11,123,21,204,35,295,9,156,6,171,6,272,IR,AT3G06190,AT5G19000,AT3G06190-AT5G190003-4+IR,622,67,599,21,both,0.07265861108278
AT1G10900-AT1G60890,7-8,7-8,+IR,15,637,5,451,13,809,2,33,4,11,3,56,IR,AT1G10900,AT1G60890,AT1G10900-AT1G608907-8+IR,1897,33,100,9,both,0.0726041117554033
