pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT1G18160-AT1G73660,10-11,10-11,+IR,9,178,2,223,9,297,5,337,4,310,9,479,IR,AT1G18160,AT1G73660,AT1G18160-AT1G7366010-11+IR,698,20,1126,18,both,0.0126675047204141
AT1G19970-AT1G75760,4-5,4-5,+IR,2,54,2,67,10,103,1,81,7,81,7,139,IR,AT1G19970,AT1G75760,AT1G19970-AT1G757604-5+IR,224,14,301,15,both,0.0126661129568106
AT1G15020-AT2G01270,3-4,3-4,+ALTA,2,59,12,38,12,84,10,168,26,142,34,224,ALTA,AT1G15020,AT2G01270,AT1G15020-AT2G012703-4+ALTA,181,26,534,70,both,0.0125602665176816
AT4G05330-AT4G21160,6-7,6-7,+IR,3,72,1,130,4,132,2,298,6,335,4,417,IR,AT4G05330,AT4G21160,AT4G05330-AT4G211606-7+IR,334,8,1050,12,both,0.0125235243798118
AT1G19700-AT1G75410,3-4,3-4,+IR,19,274,10,302,20,466,11,426,15,536,29,632,IR,AT1G19700,AT1G75410,AT1G19700-AT1G754103-4+IR,1042,49,1594,55,both,0.0125205605473501
AT5G09770-AT5G64650,3-4,3-4,+IR,7,191,2,188,10,399,6,187,4,167,17,379,IR,AT5G09770,AT5G64650,AT5G09770-AT5G646503-4+IR,778,19,733,27,both,0.0124133311355594
AT4G27100-AT5G54780,1-2,1-2,+IR,4,53,5,62,7,87,4,31,4,44,5,67,IR,AT4G27100,AT5G54780,AT4G27100-AT5G547801-2+IR,202,16,142,13,both,0.0123413749825687
AT2G19860-AT4G29130,7-8,6-7,+IR,2,215,1,184,5,381,1,419,8,271,21,647,IR,AT2G19860,AT4G29130,AT2G19860-AT4G291307-8+IR,780,8,1337,30,both,0.0121818844331933
AT3G07310-AT5G48590,1-2,1-2,+IR,95,838,114,1392,246,1494,62,561,64,435,127,887,IR,AT3G07310,AT5G48590,AT3G07310-AT5G485901-2+IR,3724,455,1883,253,both,0.0121796126002739
AT1G07420-AT2G29390,5-6,5-6,+IR,2,157,1,163,7,201,2,253,3,267,2,412,IR,AT1G07420,AT2G29390,AT1G07420-AT2G293905-6+IR,521,10,932,7,both,0.0116831283517171
