pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT3G03030-AT3G03040,1-2,2-3,+IR,2,12,3,22,16,29,110,50,76,56,159,72,IR,AT3G03030,AT3G03040,AT3G03030-AT3G030401-2+IR,63,21,178,345,both,1.60486891385768
AT3G28070-AT3G28080,3-4,3-4,+IR,201,467,72,296,203,665,309,145,221,114,384,224,IR,AT3G28070,AT3G28080,AT3G28070-AT3G280803-4+IR,1428,476,483,914,both,1.55900621118012
AT4G04750-AT4G04760,4-5,3-4,+IR,8,94,8,88,7,166,7,4,5,0,3,6,IR,AT4G04750,AT4G04760,AT4G04750-AT4G047604-5+IR,348,23,10,15,both,1.43390804597701
AT3G28070-AT3G28080,1-2,1-2,-ALTD,1,285,1,182,5,455,171,105,126,107,212,167,ALTD,AT3G28070,AT3G28080,AT3G28070-AT3G280801-2-ALTD,922,7,379,509,both,1.33541572467791
AT1G10360-AT1G10370,1-2,1-2,+IR,852,529,470,589,1188,997,156,1332,30,916,177,2179,IR,AT1G10360,AT1G10370,AT1G10360-AT1G103701-2+IR,2115,2510,4427,363,both,1.10476439172689
AT4G36270-AT4G36280,15-16,15-16,+IR,11,8,13,16,27,24,1,28,1,14,1,33,IR,AT4G36270,AT4G36280,AT4G36270-AT4G3628015-16+IR,48,51,75,3,both,1.0225
AT1G67650-AT1G67680,2-3,2-3,+IR,7,7,8,7,6,7,6,198,2,177,10,344,IR,AT1G67650,AT1G67680,AT1G67650-AT1G676802-3+IR,21,21,719,18,both,0.974965229485396
AT1G76520-AT1G76530,7-8,7-8,+IR,5,424,2,392,6,586,9,5,6,4,26,34,IR,AT1G76520,AT1G76530,AT1G76520-AT1G765307-8+IR,1402,13,43,41,both,0.944215904190028
AT1G22360-AT1G22370,1-2,1-2,+IR,51,218,59,227,92,402,51,53,102,74,66,66,IR,AT1G22360,AT1G22370,AT1G22360-AT1G223701-2+IR,847,202,193,219,both,0.896226241963406
AT2G46440-AT2G46450,4-5,4-5,+IR,9,133,9,72,9,101,283,259,79,121,230,278,IR,AT2G46440,AT2G46450,AT2G46440-AT2G464504-5+IR,306,27,658,592,both,0.811460754514572
AT4G15760-AT4G15765,1-2,1-2,+IR,8,176,8,640,19,425,11,4,7,17,9,12,IR,AT4G15760,AT4G15765,AT4G15760-AT4G157651-2+IR,1241,35,33,27,both,0.789978756135082
AT3G28070-AT3G28080,4-5,4-5,+IR,19,426,5,289,22,654,182,141,70,120,104,190,IR,AT3G28070,AT3G28080,AT3G28070-AT3G280804-5+IR,1369,46,451,356,both,0.755755815742632
AT5G20940-AT5G20950,8-9,9-10,+IR,6,10,3,4,8,8,9,335,4,358,22,670,IR,AT5G20940,AT5G20950,AT5G20940-AT5G209508-9+IR,22,17,1363,35,both,0.747048622690589
AT5G43440-AT5G43450,2-3,2-3,+IR,210,207,265,342,372,388,24,142,49,218,46,216,IR,AT5G43440,AT5G43450,AT5G43440-AT5G434502-3+IR,937,847,576,119,both,0.69735155045654
